"Year","District","Trespass","Theft","Battery","Narcotics","Assualt","Robbery","OtherOffense","Deceptive","CriminalDmg","Burglary","SexOffense","Weapons","Kidnapping","Interference","SexAssualt","VehicleTheft","Prostitution","Arson","PublicPeace","ChildrenOffense","Liquor","Intimidation","Stalking","Gambling","NonCriminal","Obscenity","PublicIndecency","Narcotic","Homicide","CCViolation","Trafficking","Ritualism","Domestic","Total"
2015,"District 5",247,1769,2535,791,994,367,838,464,1425,675,25,284,15,73,48,376,59,25,102,118,5,9,9,7,0,3,1,0,30,3,1,0,0,11298
2015,"District 4",398,2485,3352,1228,1284,562,1279,712,1870,1056,46,261,20,119,79,496,31,33,174,206,15,5,17,11,1,4,2,0,30,2,0,0,0,15778
2015,"District 24",196,1663,1288,372,425,201,497,451,901,423,45,67,0,24,41,244,11,8,54,64,9,2,3,6,0,1,1,0,10,1,0,0,0,7008
2015,"District 16",402,2192,1406,528,528,159,843,767,1201,598,44,48,13,20,38,344,7,8,92,88,12,2,10,5,7,5,0,0,5,2,0,0,0,9374
2015,"District 3",277,2009,3019,732,1013,570,1138,571,1567,954,48,224,10,72,68,403,12,17,125,116,1,7,8,11,0,0,0,0,25,0,2,0,0,12999
2015,"District 20",135,1141,729,202,270,113,308,352,465,188,16,24,2,9,21,190,3,2,39,23,4,3,2,3,0,0,0,1,7,0,0,0,0,4252
2015,"District 17",120,2068,1312,302,430,213,432,432,1052,535,37,41,5,12,51,466,8,22,43,70,9,2,3,3,0,1,1,1,13,1,0,0,0,7685
2015,"District 9",237,2352,2476,1200,853,534,814,569,1549,683,43,201,7,64,50,586,97,39,105,124,19,10,9,10,2,2,1,0,32,2,1,0,0,12671
2015,"District 2",265,2439,2165,501,748,519,703,700,1234,475,50,117,6,21,52,483,11,11,59,82,6,2,5,3,3,3,1,0,23,0,0,0,0,10687
2015,"District 19",398,4177,1599,404,490,371,435,1064,1169,597,49,33,3,26,86,416,3,19,76,64,26,9,6,1,1,0,2,0,9,0,1,0,0,11534
2015,"District 1",596,5649,1313,219,530,319,472,1424,732,176,48,23,2,14,28,196,24,7,99,47,12,12,7,0,1,1,1,0,5,1,2,0,0,11960
2015,"District 15",253,1218,2591,2505,767,521,816,466,1036,301,25,200,5,99,72,442,6,29,131,97,2,6,7,35,2,1,1,1,32,2,1,0,0,11670
2015,"District 11",330,1853,3625,5639,1257,869,1074,548,1533,469,40,273,2,188,98,590,536,19,219,133,12,4,5,54,1,1,0,0,49,5,1,0,0,19427
2015,"District 22",210,1725,1538,579,678,268,703,697,1065,479,17,105,15,42,49,333,1,8,47,85,4,6,3,9,0,2,0,0,22,0,1,0,0,8691
2015,"District 14",182,3150,1286,294,406,299,431,492,1098,489,45,53,2,14,42,465,7,15,50,52,20,1,6,1,1,1,0,0,12,0,0,0,0,8914
2015,"District 31",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,"District 21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"District 13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"District 23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,"District 8",550,6660,5090,1908,1809,1101,2170,1152,4501,2242,195,249,81,7,102,2547,433,86,137,132,69,18,14,53,0,3,0,1,25,0,0,0,0,31335
